HOUSE URL,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/904-Plateau-Cir-Austin-TX-78745/29480209_zpid/,,SINGLE FAMILY,"$500,000",904 Plateau Cir,Austin,TX,78745,4,2,1144,6525.288 sqft,
https://www.zillow.com/homedetails/4617-Cleto-St-Austin-TX-78725/145654939_zpid/,,SINGLE FAMILY,"$299,000",4617 Cleto St,Austin,TX,78725,3,2,1225,7274.52 sqft,
https://www.zillow.com/homedetails/8902-Romayne-Ln-Austin-TX-78748/29509320_zpid/,,SINGLE FAMILY,"$365,000",8902 Romayne Ln,Austin,TX,78748,3,2,1266,5924.16 sqft,
https://www.zillow.com/homedetails/1212-Guadalupe-St-APT-805-Austin-TX-78701/29387357_zpid/,,CONDO,"$425,000",1212 Guadalupe St APT 805,Austin,TX,78701,2,2,956,287.496 sqft,
https://www.zillow.com/homedetails/5702-Meadow-Crst-Austin-TX-78744/29468206_zpid/,,SINGLE FAMILY,"$250,000",5702 Meadow Crst,Austin,TX,78744,3,2,1026,6224.724 sqft,
https://www.zillow.com/homedetails/800-Brazos-St-UNIT-1009-Austin-TX-78701/80094581_zpid/,,CONDO,"$355,000",800 Brazos St UNIT 1009,Austin,TX,78701,1,1,884,217.8 sqft,
https://www.zillow.com/homedetails/4800-Lansing-Dr-Austin-TX-78745/29479914_zpid/,,SINGLE FAMILY,"$389,000",4800 Lansing Dr,Austin,TX,78745,3,2,1174,8799.12 sqft,
https://www.zillow.com/homedetails/7508-Aspen-Brook-Dr-Austin-TX-78744/79980706_zpid/,,SINGLE FAMILY,"$345,000",7508 Aspen Brook Dr,Austin,TX,78744,4,3,2322,4399.56 sqft,
https://www.zillow.com/homedetails/1202-Newning-Ave-APT-308-Austin-TX-78704/124841011_zpid/,,CONDO,"$299,000",1202 Newning Ave APT 308,Austin,TX,78704,1,1,660, ,
https://www.zillow.com/homedetails/5604-Pinon-Vista-Dr-Austin-TX-78724/29397031_zpid/,,SINGLE FAMILY,"$245,000",5604 Pinon Vista Dr,Austin,TX,78724,3,2,1320,5749.92 sqft,2087
https://www.zillow.com/homedetails/4813-Yucca-Hill-Dr-Austin-TX-78744/29508291_zpid/,,TOWNHOUSE,"$175,000",4813 Yucca Hill Dr,Austin,TX,78744,3,2,1511,744.876 sqft,
https://www.zillow.com/homedetails/2803-Nordham-Dr-Austin-TX-78745/58315013_zpid/,,SINGLE FAMILY,"$385,000",2803 Nordham Dr,Austin,TX,78745,3,2,1284,6795.36 sqft,
https://www.zillow.com/homedetails/2520-Quarry-Rd-APT-204-Austin-TX-78703/29332219_zpid/,,CONDO,"$249,000",2520 Quarry Rd APT 204,Austin,TX,78703,2,2,754,1145.628 sqft,
https://www.zillow.com/homedetails/5201-Harvest-Cir-Austin-TX-78745/29487906_zpid/,,SINGLE FAMILY,"$395,000",5201 Harvest Cir,Austin,TX,78745,3,2,1120,9496.08 sqft,2357
https://www.zillow.com/homedetails/3840-Far-West-Blvd-APT-213-Austin-TX-78731/29353023_zpid/,,CONDO,"$299,000",3840 Far West Blvd APT 213,Austin,TX,78731,2,2,981,1746.756 sqft,
https://www.zillow.com/homedetails/12500-Lamppost-Ln-16-Austin-TX-78727/337145120_zpid/,,CONDO,"$288,471",12500 Lamppost Ln #16,Austin,TX,78727,3,3,1398,3149.388 sqft,2202
https://www.zillow.com/homedetails/1702-Cherry-Orchard-Dr-Austin-TX-78745/29494829_zpid/,,SINGLE FAMILY,"$315,000",1702 Cherry Orchard Dr,Austin,TX,78745,3,1,910,8276 sqft,1904
https://www.zillow.com/homedetails/3431-N-Hills-Dr-APT-112-Austin-TX-78731/62604930_zpid/,,CONDO,"$279,000",3431 N Hills Dr APT 112,Austin,TX,78731,2,2,912,1755.468 sqft,1663
https://www.zillow.com/homedetails/903-Silver-Quail-Ln-Austin-TX-78758/29428754_zpid/,,TOWNHOUSE,"$247,000",903 Silver Quail Ln,Austin,TX,78758,3,2,1237,4260.168 sqft,1912
https://www.zillow.com/homedetails/10208-Criswell-Rd-Austin-TX-78754/305431348_zpid/,,SINGLE FAMILY,"$450,000",10208 Criswell Rd,Austin,TX,78754,4,3,2380,5353.524 sqft,
https://www.zillow.com/homedetails/7407-Merrick-Dr-Austin-TX-78748/439143116_zpid/,,TOWNHOUSE,"$450,000",7407 Merrick Dr,Austin,TX,78748,3,3,2192,2208.492 sqft,
https://www.zillow.com/homedetails/8400-Jamestown-Dr-APT-536-Austin-TX-78758/29423481_zpid/,,CONDO,"$289,000",8400 Jamestown Dr APT 536,Austin,TX,78758,2,2,968,2495.988 sqft,1601
https://www.zillow.com/homedetails/10801-Owyhee-Vw-Austin-TX-78754/241936109_zpid/,,CONDO,"$475,000",10801 Owyhee Vw,Austin,TX,78754,4,3,2943,0.39399999999999996 acres,2860
https://www.zillow.com/homedetails/2901-Single-Trace-Ct-Austin-TX-78728/29449370_zpid/,,SINGLE FAMILY,"$390,000",2901 Single Trace Ct,Austin,TX,78728,4,3,2066,6621.12 sqft,2376
https://www.zillow.com/homedetails/909-Reinli-St-APT-144-Austin-TX-78751/145654871_zpid/,,CONDO,"$224,999",909 Reinli St APT 144,Austin,TX,78751,2,2,914,1346.004 sqft,
https://www.zillow.com/homedetails/605-Silver-Wing-Dr-Austin-TX-78725/241937807_zpid/,,SINGLE FAMILY,"$374,000",605 Silver Wing Dr,Austin,TX,78725,4,3,2570,6904.26 sqft,
https://www.zillow.com/homedetails/4003-Reeders-Dr-Austin-TX-78725/60138152_zpid/,,SINGLE FAMILY,"$230,000",4003 Reeders Dr,Austin,TX,78725,3,2,1371,5309.964 sqft,
https://www.zillow.com/homedetails/8701-Meridian-Oak-Ln-Austin-TX-78744/70343536_zpid/,,SINGLE FAMILY,"$395,000",8701 Meridian Oak Ln,Austin,TX,78744,4,3,1919,5832.684 sqft,2397
https://www.zillow.com/homedetails/2918-Ranch-Road-620-N-B112-Austin-TX-78734/451078215_zpid/,,CONDO,"$295,000",2918 Ranch Road 620 N #B112,Austin,TX,78734,3,3,1593,6046.128 sqft,
https://www.zillow.com/homedetails/2302-Rain-Water-Dr-Austin-TX-78734/125792760_zpid/,,SINGLE FAMILY,$250K,2302 Rain Water Dr,Austin,TX,78734,3,3,2443,8973.36 sqft,
https://www.zillow.com/homedetails/9015-Cattle-Baron-Path-702-Austin-TX-78747/339461510_zpid/,,TOWNHOUSE,"$275,000",9015 Cattle Baron Path #702,Austin,TX,78747,2,3,1340,3323.628 sqft,
https://www.zillow.com/homedetails/1115-Ebert-Ave-D-Austin-TX-78721/29385594_zpid/,,SINGLE FAMILY,"$145,000",1115 Ebert Ave #D,Austin,TX,78721,2,1,696,7048.008 sqft,1756
https://www.zillow.com/homedetails/8012-Mellencamp-Dr-Austin-TX-78744/337142597_zpid/,,CONDO,"$320,000",8012 Mellencamp Dr,Austin,TX,78744,2,3,1223,967.032 sqft,
https://www.zillow.com/homedetails/3704-Munson-St-1-Austin-TX-78721/454834454_zpid/,,CONDO,"$424,000",3704 Munson St #1,Austin,TX,78721,3,2,1021,0.2513 acres,
https://www.zillow.com/homedetails/1748-Ohlen-Rd-APT-76-Austin-TX-78757/29426750_zpid/,,CONDO,"$299,000",1748 Ohlen Rd APT 76,Austin,TX,78757,2,2,1194,2526.48 sqft,1903
https://www.zillow.com/homedetails/2018-W-Rundberg-Ln-APT-6A-Austin-TX-78758/83822443_zpid/,,TOWNHOUSE,"$184,000",2018 W Rundberg Ln APT 6A,Austin,TX,78758,2,3,1105,2430.648 sqft,1924
https://www.zillow.com/homedetails/4911-Brighton-Rd-Austin-TX-78745/29482900_zpid/,,SINGLE FAMILY,"$450,000",4911 Brighton Rd,Austin,TX,78745,3,2,1130,7792.884 sqft,2553
https://www.zillow.com/homedetails/12402-Blue-Water-Cir-Austin-TX-78758/29438571_zpid/,,SINGLE FAMILY,"$409,000",12402 Blue Water Cir,Austin,TX,78758,4,2,1824,0.2559 acres,
https://www.zillow.com/homedetails/14710-Montoro-Dr-Austin-TX-78728/29451024_zpid/,,SINGLE FAMILY,"$350,000",14710 Montoro Dr,Austin,TX,78728,3,2,1416,4948.416 sqft,2023
https://www.zillow.com/homedetails/8104-Valleyfield-Dr-Austin-TX-78724/29401202_zpid/,,SINGLE FAMILY,"$325,000",8104 Valleyfield Dr,Austin,TX,78724,5,2,1580,8306.892 sqft,
https://www.zillow.com/homedetails/6700-Rockridge-Ct-Austin-TX-78744/62608174_zpid/,,SINGLE FAMILY,"$245,999",6700 Rockridge Ct,Austin,TX,78744,4,2,1308,8367.876 sqft,
https://www.zillow.com/homedetails/4405-Avenue-A-APT-19-Austin-TX-78751/62605969_zpid/,,CONDO,"$205,000",4405 Avenue A APT 19,Austin,TX,78751,1,1,533,958.32 sqft,
https://www.zillow.com/homedetails/7923-Brockman-St-Austin-TX-78757/29423064_zpid/,,SINGLE FAMILY,"$350,000",7923 Brockman St,Austin,TX,78757,2,2,1121,8982.072 sqft,1986
https://www.zillow.com/homedetails/3207-Harpers-Ferry-Ln-Austin-TX-78745/29495361_zpid/,,SINGLE FAMILY,"$495,000",3207 Harpers Ferry Ln,Austin,TX,78745,3,2,1380,7013.16 sqft,
https://www.zillow.com/homedetails/808-E-46th-St-APT-C-Austin-TX-78751/29401700_zpid/,,SINGLE FAMILY,"$275,000",808 E 46th St APT C,Austin,TX,78751,2,1,704,4268.88 sqft,
https://www.zillow.com/homedetails/10116-Willfield-Dr-Austin-TX-78753/29425962_zpid/,,SINGLE FAMILY,"$390,000",10116 Willfield Dr,Austin,TX,78753,4,2,1530,8258.976 sqft,
https://www.zillow.com/homedetails/15300-Lucian-St-Austin-TX-78725/2072152905_zpid/,,SINGLE FAMILY,"$235,000",15300 Lucian St,Austin,TX,78725,3,2,1233,7749.324 sqft,
https://www.zillow.com/homedetails/1715-Mearns-Meadow-Blvd-Austin-TX-78758/29433501_zpid/,,SINGLE FAMILY,"$379,000",1715 Mearns Meadow Blvd,Austin,TX,78758,3,2,1130,9034.344 sqft,
https://www.zillow.com/homedetails/3710-Hollywood-Ave-Austin-TX-78722/29396263_zpid/,,SINGLE FAMILY,"$499,900",3710 Hollywood Ave,Austin,TX,78722,2,1,1044,4952.772 sqft,
https://www.zillow.com/homedetails/6202-Hillston-Dr-Austin-TX-78745/29485901_zpid/,,SINGLE FAMILY,"$500,000",6202 Hillston Dr,Austin,TX,78745,4,3,1487,6403.32 sqft,
https://www.zillow.com/homedetails/1406-Webberville-Rd-Austin-TX-78721/29391375_zpid/,,SINGLE FAMILY,"$374,500",1406 Webberville Rd,Austin,TX,78721,3,2,1456,0.283 acres,
https://www.zillow.com/homedetails/2018-W-Rundberg-Ln-APT-12B-Austin-TX-78758/83828398_zpid/,,TOWNHOUSE,"$179,000",2018 W Rundberg Ln APT 12B,Austin,TX,78758,2,3,1105,2430.648 sqft,
https://www.zillow.com/homedetails/5700-Jain-Ln-Austin-TX-78721/83813185_zpid/,,SINGLE FAMILY,"$500,000",5700 Jain Ln,Austin,TX,78721,4,2,1716,0.289 acres,2875
https://www.zillow.com/homedetails/1010-W-Rundberg-Ln-APT-24-Austin-TX-78758/29427751_zpid/,,CONDO,"$250,000",1010 W Rundberg Ln APT 24,Austin,TX,78758,3,2,1238,3367.188 sqft,
https://www.zillow.com/homedetails/6310-Ringsby-Rd-Austin-TX-78747/70342098_zpid/,,SINGLE FAMILY,"$320,000",6310 Ringsby Rd,Austin,TX,78747,4,4,2912,7657.848 sqft,2304
https://www.zillow.com/homedetails/5800-Needle-Nook-Ct-48-Austin-TX-78744/453593687_zpid/,,CONDO,"$280,000",5800 Needle Nook Ct #48,Austin,TX,78744,3,3,1524,4930.992 sqft,
